advertiser,election,topic,spend_week,spend_month,spend
EPSILON GROUP PAC,NATIONAL-PRES,Climate & Energy,2024_10/07-10/13,2024_10,866.484
OMICRON FUND,REGION-3-HSE,Abortion,2024_10/01-10/06,2024_10,200.5759
TAU COMMITTEE,NATIONAL-PRES,Immigration,2024_09/10-09/16,2024_09,2.5
EPSILON GROUP PAC,REGION-2-SEN,Gun Policy,2024_10/15-10/21,2024_10,3332.7828
MU ACTION PAC,REGION-2-SEN,Abortion,2024_09/03-09/09,2024_09,121.3441
XI PROGRESS COMMITTEE,REGION-1-GOV,Criminal Justice,2024_11/05-11/11,2024_11,
NU COALITION,REGION-4-GOV,Healthcare,2024_09/10-09/16,2024_09,185.8572
MU ACTION PAC,REGION-1-GOV,Education,2024_10/01-10/06,2024_10,250000
MU ACTION PAC,REGION-1-GOV,Criminal Justice,2024_11/05-11/11,2024_11,940.785
OMICRON FUND,REGION-1-GOV,Climate & Energy,2024_11/05-11/11,2024_11,13986.4771
IOTA CITIZENS PAC,NATIONAL-PRES,Criminal Justice,2024_11/12-11/18,2024_11,25493.3038
MU ACTION PAC,REGION-3-HSE,Climate & Energy,2024_11/12-11/18,2024_11,3093.9055
EPSILON GROUP PAC,REGION-2-SEN,Immigration,2024_10/15-10/21,2024_10,
IOTA CITIZENS PAC,NATIONAL-PRES,Criminal Justice,2024_09/03-09/09,2024_09,17.1088
GAMMA VOTERS FUND,REGION-1-GOV,Healthcare,2024_09/17-09/23,2024_09,636.4281
THETA ACTION COMMITTEE,REGION-4-GOV,Climate & Energy,2024_09/10-09/16,2024_09,185.2053
NU COALITION,NATIONAL-PRES,Abortion,2024_09/17-09/23,2024_09,
RHO VOTERS PAC,REGION-3-HSE,Abortion,2024_10/07-10/13,2024_10,12094.4109
ZETA FORWARD FUND,REGION-1-GOV,Gun Policy,2024_11/05-11/11,2024_11,2.5
GAMMA VOTERS FUND,REGION-2-SEN,Abortion,2024_10/07-10/13,2024_10,2152.7485
ETA PROGRESS PAC,REGION-2-SEN,Economy & Labor,2024_11/12-11/18,2024_11,39.2385
BETA ACTION PAC,REGION-2-SEN,Climate & Energy,2024_10/01-10/06,2024_10,
PI ACTION GROUP,REGION-3-HSE,Healthcare,2024_11/12-11/18,2024_11,444.1414
MU ACTION PAC,NATIONAL-PRES,Climate & Energy,2024_10/01-10/06,2024_10,198.9276
MU ACTION PAC,NATIONAL-PRES,Abortion,2024_09/24-09/30,2024_09,135.3057
ETA PROGRESS PAC,NATIONAL-PRES,Criminal Justice,2024_09/17-09/23,2024_09,945.4947
GAMMA VOTERS FUND,NATIONAL-PRES,Abortion,2024_10/07-10/13,2024_10,
LAMBDA POLICY FUND,REGION-1-GOV,Healthcare,2024_10/15-10/21,2024_10,397.3355
NU COALITION,REGION-1-GOV,Economy & Labor,2024_09/17-09/23,2024_09,66.6244
GAMMA VOTERS FUND,REGION-2-SEN,Healthcare,2024_10/22-10/28,2024_10,200.1191
ZETA FORWARD FUND,NATIONAL-PRES,Healthcare,2024_10/01-10/06,2024_10,
MU ACTION PAC,REGION-4-GOV,Education,2024_10/22-10/28,2024_10,200765.0585
MU ACTION PAC,REGION-4-GOV,Climate & Energy,2024_10/29-11/04,2024_11,40.6404
NU COALITION,REGION-2-SEN,Abortion,2024_11/05-11/11,2024_11,212.197
XI PROGRESS COMMITTEE,REGION-1-GOV,Education,2024_10/29-11/04,2024_11,29.2436
NU COALITION,REGION-3-HSE,Immigration,2024_10/15-10/21,2024_10,56.0493
ZETA FORWARD FUND,REGION-2-SEN,Healthcare,2024_10/22-10/28,2024_10,19293.8955
NU COALITION,NATIONAL-PRES,Climate & Energy,2024_09/10-09/16,2024_09,431.4832
BETA ACTION PAC,REGION-3-HSE,Climate & Energy,2024_11/05-11/11,2024_11,573.596
ALPHA COMMITTEE,NATIONAL-PRES,Criminal Justice,2024_10/01-10/06,2024_10,564.9875
EPSILON GROUP PAC,NATIONAL-PRES,Criminal Justice,2024_10/15-10/21,2024_10,10274.2603
MU ACTION PAC,REGION-1-GOV,Education,2024_10/29-11/04,2024_11,18838.5374
BETA ACTION PAC,REGION-3-HSE,Education,2024_10/22-10/28,2024_10,617.8919
EPSILON GROUP PAC,REGION-3-HSE,Economy & Labor,2024_09/17-09/23,2024_09,5920.0444
DELTA COALITION,REGION-3-HSE,Economy & Labor,2024_10/01-10/06,2024_10,18.7014
ETA PROGRESS PAC,REGION-2-SEN,Criminal Justice,2024_10/22-10/28,2024_10,9.8762
KAPPA FORWARD GROUP,REGION-3-HSE,Criminal Justice,2024_09/24-09/30,2024_09,395.6697
TAU COMMITTEE,REGION-4-GOV,Criminal Justice,2024_10/29-11/04,2024_11,87.9614
EPSILON GROUP PAC,NATIONAL-PRES,Healthcare,2024_10/22-10/28,2024_10,5601.0134
ZETA FORWARD FUND,REGION-1-GOV,Healthcare,2024_10/15-10/21,2024_10,4.4233
ETA PROGRESS PAC,REGION-2-SEN,Healthcare,2024_11/05-11/11,2024_11,
RHO VOTERS PAC,REGION-4-GOV,Gun Policy,2024_09/10-09/16,2024_09,1487.4143
DELTA COALITION,REGION-4-GOV,Gun Policy,2024_10/29-11/04,2024_11,1727.2836
KAPPA FORWARD GROUP,REGION-3-HSE,Healthcare,2024_09/24-09/30,2024_09,4851.4161
ETA PROGRESS PAC,REGION-2-SEN,Climate & Energy,2024_09/10-09/16,2024_09,361.4541
OMICRON FUND,REGION-2-SEN,Climate & Energy,2024_11/12-11/18,2024_11,
ALPHA COMMITTEE,REGION-3-HSE,Criminal Justice,2024_10/22-10/28,2024_10,250000
RHO VOTERS PAC,REGION-1-GOV,Gun Policy,2024_09/17-09/23,2024_09,
RHO VOTERS PAC,REGION-1-GOV,Education,2024_10/29-11/04,2024_11,669.7921
XI PROGRESS COMMITTEE,NATIONAL-PRES,Criminal Justice,2024_10/07-10/13,2024_10,3935.4425
BETA ACTION PAC,REGION-3-HSE,Economy & Labor,2024_09/17-09/23,2024_09,56732.0997
SIGMA FORWARD FUND,NATIONAL-PRES,Healthcare,2024_10/01-10/06,2024_10,5387.5126
IOTA CITIZENS PAC,REGION-3-HSE,Economy & Labor,2024_09/10-09/16,2024_09,18.9937
NU COALITION,REGION-3-HSE,Healthcare,2024_10/22-10/28,2024_10,1959.2447
DELTA COALITION,REGION-1-GOV,Education,2024_09/03-09/09,2024_09,126699.8325
XI PROGRESS COMMITTEE,REGION-4-GOV,Economy & Labor,2024_09/10-09/16,2024_09,143.7816
IOTA CITIZENS PAC,REGION-3-HSE,Education,2024_10/22-10/28,2024_10,
NU COALITION,NATIONAL-PRES,Healthcare,2024_10/29-11/04,2024_11,970.5062
TAU COMMITTEE,REGION-4-GOV,Education,2024_10/07-10/13,2024_10,7866.2736
OMICRON FUND,NATIONAL-PRES,Immigration,2024_11/12-11/18,2024_11,2109.3834
ALPHA COMMITTEE,REGION-3-HSE,Economy & Labor,2024_09/10-09/16,2024_09,184.7033
EPSILON GROUP PAC,REGION-4-GOV,Criminal Justice,2024_10/15-10/21,2024_10,490.3709
KAPPA FORWARD GROUP,REGION-3-HSE,Economy & Labor,2024_09/10-09/16,2024_09,25771.9209
DELTA COALITION,REGION-3-HSE,Abortion,2024_09/10-09/16,2024_09,2.5
UPSILON ACTION PAC,REGION-3-HSE,Gun Policy,2024_11/12-11/18,2024_11,119245.715
ETA PROGRESS PAC,REGION-2-SEN,Climate & Energy,2024_09/03-09/09,2024_09,6.7019
UPSILON ACTION PAC,NATIONAL-PRES,Criminal Justice,2024_10/29-11/04,2024_11,463.3705
DELTA COALITION,REGION-4-GOV,Criminal Justice,2024_10/22-10/28,2024_10,269.5355
LAMBDA POLICY FUND,REGION-2-SEN,Criminal Justice,2024_09/17-09/23,2024_09,64726.9036
SIGMA FORWARD FUND,NATIONAL-PRES,Gun Policy,2024_10/29-11/04,2024_11,44215.2768
MU ACTION PAC,NATIONAL-PRES,Criminal Justice,2024_09/24-09/30,2024_09,60571.6217
MU ACTION PAC,REGION-1-GOV,Abortion,2024_11/12-11/18,2024_11,39128.0611
RHO VOTERS PAC,REGION-3-HSE,Healthcare,2024_10/29-11/04,2024_11,16.8162
THETA ACTION COMMITTEE,NATIONAL-PRES,Education,2024_09/10-09/16,2024_09,603.2221
EPSILON GROUP PAC,REGION-1-GOV,Immigration,2024_09/24-09/30,2024_09,277.1092
ZETA FORWARD FUND,REGION-4-GOV,Gun Policy,2024_10/22-10/28,2024_10,6818.8
EPSILON GROUP PAC,REGION-4-GOV,Immigration,2024_10/01-10/06,2024_10,4251.9515
ALPHA COMMITTEE,REGION-1-GOV,Climate & Energy,2024_09/17-09/23,2024_09,24914.5561
GAMMA VOTERS FUND,REGION-1-GOV,Climate & Energy,2024_10/22-10/28,2024_10,1504.2953
PI ACTION GROUP,NATIONAL-PRES,Criminal Justice,2024_09/24-09/30,2024_09,229.4288
ZETA FORWARD FUND,REGION-1-GOV,Climate & Energy,2024_09/10-09/16,2024_09,328.1864
TAU COMMITTEE,NATIONAL-PRES,Immigration,2024_09/24-09/30,2024_09,34.4616
UPSILON ACTION PAC,REGION-1-GOV,Immigration,2024_09/17-09/23,2024_09,11345.3499
EPSILON GROUP PAC,NATIONAL-PRES,Immigration,2024_09/17-09/23,2024_09,702.9952
ZETA FORWARD FUND,REGION-1-GOV,Abortion,2024_09/17-09/23,2024_09,2001.2422
IOTA CITIZENS PAC,REGION-4-GOV,Gun Policy,2024_09/03-09/09,2024_09,1035.5552
BETA ACTION PAC,REGION-1-GOV,Abortion,2024_11/12-11/18,2024_11,1745.0852
THETA ACTION COMMITTEE,NATIONAL-PRES,Economy & Labor,2024_10/07-10/13,2024_10,187.6272
XI PROGRESS COMMITTEE,REGION-3-HSE,Healthcare,2024_09/24-09/30,2024_09,
TAU COMMITTEE,REGION-3-HSE,Gun Policy,2024_09/24-09/30,2024_09,
ZETA FORWARD FUND,NATIONAL-PRES,Criminal Justice,2024_10/01-10/06,2024_10,143.9311
NU COALITION,NATIONAL-PRES,Economy & Labor,2024_09/24-09/30,2024_09,2.5
NU COALITION,REGION-4-GOV,Immigration,2024_09/17-09/23,2024_09,2553.1623
BETA ACTION PAC,REGION-4-GOV,Gun Policy,2024_11/05-11/11,2024_11,
ALPHA COMMITTEE,REGION-2-SEN,Immigration,2024_09/24-09/30,2024_09,113.5248
OMICRON FUND,NATIONAL-PRES,Healthcare,2024_11/05-11/11,2024_11,4594.7355
DELTA COALITION,REGION-1-GOV,Climate & Energy,2024_09/17-09/23,2024_09,2.5
THETA ACTION COMMITTEE,REGION-1-GOV,Immigration,2024_11/05-11/11,2024_11,413.5475
OMICRON FUND,REGION-1-GOV,Abortion,2024_09/24-09/30,2024_09,2487.2276
UPSILON ACTION PAC,REGION-1-GOV,Immigration,2024_10/07-10/13,2024_10,152.0023
BETA ACTION PAC,REGION-2-SEN,Criminal Justice,2024_11/12-11/18,2024_11,207.6292
PI ACTION GROUP,REGION-2-SEN,Abortion,2024_10/29-11/04,2024_11,2307.0966
RHO VOTERS PAC,REGION-3-HSE,Immigration,2024_11/12-11/18,2024_11,406.622
OMICRON FUND,REGION-2-SEN,Economy & Labor,2024_10/29-11/04,2024_11,4070.9994
OMICRON FUND,REGION-2-SEN,Criminal Justice,2024_09/03-09/09,2024_09,22.855
DELTA COALITION,NATIONAL-PRES,Gun Policy,2024_11/05-11/11,2024_11,250000
EPSILON GROUP PAC,REGION-3-HSE,Economy & Labor,2024_11/05-11/11,2024_11,6124.9018
PI ACTION GROUP,REGION-4-GOV,Criminal Justice,2024_10/15-10/21,2024_10,181.6259
ZETA FORWARD FUND,NATIONAL-PRES,Economy & Labor,2024_10/15-10/21,2024_10,2.5
UPSILON ACTION PAC,NATIONAL-PRES,Economy & Labor,2024_11/05-11/11,2024_11,
BETA ACTION PAC,NATIONAL-PRES,Healthcare,2024_10/07-10/13,2024_10,
SIGMA FORWARD FUND,REGION-2-SEN,Healthcare,2024_09/03-09/09,2024_09,8025.4407
EPSILON GROUP PAC,NATIONAL-PRES,Gun Policy,2024_09/17-09/23,2024_09,11784.8294
RHO VOTERS PAC,REGION-3-HSE,Healthcare,2024_10/22-10/28,2024_10,29.918
OMICRON FUND,REGION-3-HSE,Education,2024_09/10-09/16,2024_09,1664.0595
SIGMA FORWARD FUND,REGION-1-GOV,Economy & Labor,2024_09/10-09/16,2024_09,1180.5576
ETA PROGRESS PAC,NATIONAL-PRES,Abortion,2024_10/22-10/28,2024_10,4959.0639
RHO VOTERS PAC,REGION-4-GOV,Abortion,2024_09/03-09/09,2024_09,2175.9478
DELTA COALITION,REGION-2-SEN,Immigration,2024_10/22-10/28,2024_10,21836.6884
ZETA FORWARD FUND,REGION-1-GOV,Abortion,2024_11/12-11/18,2024_11,
ALPHA COMMITTEE,REGION-1-GOV,Economy & Labor,2024_10/07-10/13,2024_10,1211.4876
DELTA COALITION,REGION-4-GOV,Education,2024_09/24-09/30,2024_09,530.7575
NU COALITION,REGION-3-HSE,Abortion,2024_10/15-10/21,2024_10,2130.967
IOTA CITIZENS PAC,REGION-4-GOV,Climate & Energy,2024_10/01-10/06,2024_10,190224.0849
ZETA FORWARD FUND,REGION-4-GOV,Immigration,2024_09/24-09/30,2024_09,36.9896
NU COALITION,REGION-2-SEN,Education,2024_11/05-11/11,2024_11,82.5971
ZETA FORWARD FUND,NATIONAL-PRES,Criminal Justice,2024_11/12-11/18,2024_11,
DELTA COALITION,REGION-2-SEN,Economy & Labor,2024_09/17-09/23,2024_09,34.1422
UPSILON ACTION PAC,NATIONAL-PRES,Abortion,2024_10/01-10/06,2024_10,41.0105
BETA ACTION PAC,REGION-1-GOV,Healthcare,2024_11/05-11/11,2024_11,31620.3413
ZETA FORWARD FUND,REGION-3-HSE,Immigration,2024_11/05-11/11,2024_11,21498.4349
RHO VOTERS PAC,REGION-2-SEN,Education,2024_10/15-10/21,2024_10,15.6835
MU ACTION PAC,NATIONAL-PRES,Abortion,2024_11/05-11/11,2024_11,960.6319
LAMBDA POLICY FUND,REGION-4-GOV,Abortion,2024_11/05-11/11,2024_11,2.8361
OMICRON FUND,REGION-4-GOV,Climate & Energy,2024_10/15-10/21,2024_10,50.6511
ZETA FORWARD FUND,REGION-4-GOV,Criminal Justice,2024_10/29-11/04,2024_11,150.2931
KAPPA FORWARD GROUP,REGION-1-GOV,Economy & Labor,2024_11/05-11/11,2024_11,2455.9419
ZETA FORWARD FUND,REGION-4-GOV,Economy & Labor,2024_10/07-10/13,2024_10,583.5414
PI ACTION GROUP,REGION-2-SEN,Healthcare,2024_10/07-10/13,2024_10,209.065
XI PROGRESS COMMITTEE,NATIONAL-PRES,Climate & Energy,2024_11/12-11/18,2024_11,544.1907
GAMMA VOTERS FUND,REGION-1-GOV,Economy & Labor,2024_09/17-09/23,2024_09,531.4431
OMICRON FUND,NATIONAL-PRES,Economy & Labor,2024_11/05-11/11,2024_11,259.9133
NU COALITION,REGION-2-SEN,Gun Policy,2024_10/07-10/13,2024_10,204.3148
LAMBDA POLICY FUND,NATIONAL-PRES,Immigration,2024_11/05-11/11,2024_11,4109.3497
SIGMA FORWARD FUND,REGION-3-HSE,Education,2024_09/17-09/23,2024_09,3548.2445
SIGMA FORWARD FUND,REGION-3-HSE,Criminal Justice,2024_11/12-11/18,2024_11,698.4111
NU COALITION,REGION-4-GOV,Economy & Labor,2024_10/07-10/13,2024_10,17.0605
ETA PROGRESS PAC,REGION-1-GOV,Immigration,2024_10/01-10/06,2024_10,20.4346
BETA ACTION PAC,REGION-4-GOV,Criminal Justice,2024_09/24-09/30,2024_09,4542.3358
ETA PROGRESS PAC,NATIONAL-PRES,Economy & Labor,2024_10/07-10/13,2024_10,745.3454
BETA ACTION PAC,REGION-3-HSE,Criminal Justice,2024_10/15-10/21,2024_10,120.6423
ETA PROGRESS PAC,REGION-2-SEN,Climate & Energy,2024_09/17-09/23,2024_09,361.1673
ALPHA COMMITTEE,NATIONAL-PRES,Criminal Justice,2024_10/22-10/28,2024_10,3481.7871
XI PROGRESS COMMITTEE,REGION-4-GOV,Economy & Labor,2024_10/22-10/28,2024_10,5257.0437
MU ACTION PAC,NATIONAL-PRES,Healthcare,2024_11/12-11/18,2024_11,21716.553
ZETA FORWARD FUND,REGION-4-GOV,Education,2024_10/07-10/13,2024_10,558.6957
PI ACTION GROUP,REGION-1-GOV,Healthcare,2024_11/12-11/18,2024_11,95527.5046
OMICRON FUND,REGION-1-GOV,Healthcare,2024_09/17-09/23,2024_09,246.7167
UPSILON ACTION PAC,REGION-4-GOV,Gun Policy,2024_09/24-09/30,2024_09,830.8856
IOTA CITIZENS PAC,NATIONAL-PRES,Criminal Justice,2024_10/07-10/13,2024_10,3085.4974
RHO VOTERS PAC,REGION-2-SEN,Gun Policy,2024_09/10-09/16,2024_09,
ZETA FORWARD FUND,REGION-3-HSE,Education,2024_10/15-10/21,2024_10,408.5925
ETA PROGRESS PAC,REGION-3-HSE,Immigration,2024_09/03-09/09,2024_09,1331.8954
TAU COMMITTEE,REGION-3-HSE,Abortion,2024_09/17-09/23,2024_09,77.5754
MU ACTION PAC,NATIONAL-PRES,Criminal Justice,2024_11/05-11/11,2024_11,1978.3558
RHO VOTERS PAC,REGION-3-HSE,Climate & Energy,2024_10/15-10/21,2024_10,1725.392
BETA ACTION PAC,REGION-1-GOV,Abortion,2024_10/22-10/28,2024_10,2812.9917
THETA ACTION COMMITTEE,REGION-3-HSE,Healthcare,2024_09/17-09/23,2024_09,10.1135
UPSILON ACTION PAC,REGION-1-GOV,Gun Policy,2024_10/07-10/13,2024_10,97279.0236
THETA ACTION COMMITTEE,REGION-1-GOV,Education,2024_09/17-09/23,2024_09,51577.9281
SIGMA FORWARD FUND,NATIONAL-PRES,Climate & Energy,2024_10/01-10/06,2024_10,5877.7391
SIGMA FORWARD FUND,REGION-1-GOV,Healthcare,2024_09/03-09/09,2024_09,278.806
EPSILON GROUP PAC,REGION-1-GOV,Abortion,2024_11/05-11/11,2024_11,43402.6297
EPSILON GROUP PAC,NATIONAL-PRES,Healthcare,2024_10/15-10/21,2024_10,45131.9847
RHO VOTERS PAC,REGION-3-HSE,Immigration,2024_09/24-09/30,2024_09,
NU COALITION,REGION-2-SEN,Criminal Justice,2024_10/01-10/06,2024_10,11265.4892
NU COALITION,REGION-1-GOV,Immigration,2024_09/17-09/23,2024_09,791.3911
XI PROGRESS COMMITTEE,NATIONAL-PRES,Healthcare,2024_10/29-11/04,2024_11,22613.9166
MU ACTION PAC,REGION-1-GOV,Immigration,2024_09/03-09/09,2024_09,709.5976
SIGMA FORWARD FUND,REGION-2-SEN,Abortion,2024_09/17-09/23,2024_09,214.206
THETA ACTION COMMITTEE,REGION-1-GOV,Economy & Labor,2024_10/07-10/13,2024_10,3741.8792
ETA PROGRESS PAC,NATIONAL-PRES,Education,2024_10/22-10/28,2024_10,
RHO VOTERS PAC,REGION-1-GOV,Education,2024_10/15-10/21,2024_10,37329.6592
BETA ACTION PAC,REGION-3-HSE,Criminal Justice,2024_10/15-10/21,2024_10,185669.4375
TAU COMMITTEE,REGION-2-SEN,Healthcare,2024_09/24-09/30,2024_09,1059.4373
ZETA FORWARD FUND,REGION-2-SEN,Economy & Labor,2024_09/10-09/16,2024_09,861.8089
XI PROGRESS COMMITTEE,NATIONAL-PRES,Economy & Labor,2024_10/15-10/21,2024_10,64.5618
IOTA CITIZENS PAC,REGION-1-GOV,Abortion,2024_10/22-10/28,2024_10,10.1381
DELTA COALITION,NATIONAL-PRES,Climate & Energy,2024_09/17-09/23,2024_09,52.1229
ETA PROGRESS PAC,REGION-1-GOV,Immigration,2024_10/15-10/21,2024_10,15.6079
DELTA COALITION,REGION-4-GOV,Abortion,2024_10/29-11/04,2024_11,6630.9574
DELTA COALITION,NATIONAL-PRES,Criminal Justice,2024_09/10-09/16,2024_09,31343.9517
RHO VOTERS PAC,REGION-2-SEN,Abortion,2024_11/12-11/18,2024_11,34.6172
ETA PROGRESS PAC,REGION-2-SEN,Immigration,2024_10/01-10/06,2024_10,93.5884
MU ACTION PAC,REGION-1-GOV,Immigration,2024_11/12-11/18,2024_11,3728.5456
TAU COMMITTEE,REGION-4-GOV,Criminal Justice,2024_10/29-11/04,2024_11,86386.908
DELTA COALITION,REGION-4-GOV,Climate & Energy,2024_11/05-11/11,2024_11,3.5
OMICRON FUND,REGION-3-HSE,Gun Policy,2024_10/29-11/04,2024_11,196.2987
GAMMA VOTERS FUND,NATIONAL-PRES,Healthcare,2024_10/07-10/13,2024_10,3369.1884
EPSILON GROUP PAC,REGION-1-GOV,Abortion,2024_09/03-09/09,2024_09,1256.1991
ALPHA COMMITTEE,NATIONAL-PRES,Immigration,2024_11/12-11/18,2024_11,405.607
ALPHA COMMITTEE,REGION-2-SEN,Healthcare,2024_10/29-11/04,2024_11,476.0417
UPSILON ACTION PAC,REGION-1-GOV,Gun Policy,2024_10/01-10/06,2024_10,21.6942
ETA PROGRESS PAC,REGION-4-GOV,Abortion,2024_10/22-10/28,2024_10,
BETA ACTION PAC,NATIONAL-PRES,Immigration,2024_10/29-11/04,2024_11,113.0723
OMICRON FUND,REGION-1-GOV,Immigration,2024_11/12-11/18,2024_11,515.6631
SIGMA FORWARD FUND,REGION-1-GOV,Immigration,2024_10/29-11/04,2024_11,9868.4766
ZETA FORWARD FUND,NATIONAL-PRES,Gun Policy,2024_09/17-09/23,2024_09,36.2821
BETA ACTION PAC,REGION-3-HSE,Economy & Labor,2024_10/15-10/21,2024_10,163.0184
DELTA COALITION,REGION-1-GOV,Education,2024_10/22-10/28,2024_10,4025.344
UPSILON ACTION PAC,REGION-1-GOV,Criminal Justice,2024_09/03-09/09,2024_09,
KAPPA FORWARD GROUP,REGION-4-GOV,Immigration,2024_10/29-11/04,2024_11,962.9482
OMICRON FUND,REGION-2-SEN,Abortion,2024_09/10-09/16,2024_09,431.9087
ZETA FORWARD FUND,REGION-3-HSE,Criminal Justice,2024_10/07-10/13,2024_10,
BETA ACTION PAC,NATIONAL-PRES,Healthcare,2024_09/03-09/09,2024_09,758.3762
ALPHA COMMITTEE,REGION-1-GOV,Climate & Energy,2024_10/29-11/04,2024_11,1421.5689
DELTA COALITION,REGION-1-GOV,Criminal Justice,2024_10/29-11/04,2024_11,5569.947
